titles,reviews
부당거래," 여기서 제일 나쁜 놈의 대사가 제일 명대사로 남은 게 아이러니 부패하고 추악한 이 사회를 투영하듯 던지는 메시지가 묵직하고 강렬하면서도 날카롭다. 부당거래, 베테랑과 닮은 듯 다른 지점 [리뷰] http://blog.naver.com/vegeta78/220607454314 결국 살아남는 사람에게. '정의'라는 이름 아래에서 진행된 부정의 잘 짜여진 각본, 감초 같은 연기, 한국 범죄 영화의 정점이 아닌가. 오랜만에 만난 형제는 여전히 대단했다! 나에게 류승범 배우님과 황정민 배우님이 누군지 알게 해준 작품 음..그래서 그렇게 끝난거구나. 맨날 마지막만 케이블에서 봐서. 류승완의 최전성기 시절 폼."
벼랑 위의 포뇨," 귀여운 상상력과 기묘한 풍경으로 약동하는 미야자키 하야오의 동화. 21-001 아이들의 관점과 노인의 마음으로 만든 것 같은 영화.
1. 영화를 보고 가장 먼저 머릿 속에 떠오른 생각은, 왜인지 찝찝하다는 생각이었다. 삶과 죽음의 대조가 많이 보이는 것이 이유였다. 아이들과 노인들이 같이 등장하고, 평화로운 바다와 재앙으로서의 바다가 같이 등장한다. 또한, 바다는 그 자체로 삶과 죽음을 모두 상징하기도 한다. 바다에서는 수많은 생명들이 탄생하지만, 바다는 많은 생명을 앗아가기도 하기 때문이다. 이러한 점에서 볼 때, 아이들이 살고 있는 집과 바다가 맞닿고, 수많은 과거의 생명체들(인간을 포함하여)을 만나고 아이들이 '33'이라고 써있는 터널을 지나는 점은 의미심장하게 보일 수 밖에 없다. 또한, 포뇨의 아버지가 만든 세상에서 할머니들이 걸어다니며 '저승'을 언급하는 점도 마찬가지이다.

2. 그러한 점에서, 결말부의 희망찬 마무리는 안심을 주는 요소이기도 하다. 죽음의 경계선을 다녀온 아이들은 다시금 가족들을 만나고, 입맞춤을 한다. 필자가 생각한 것과 다르게, 희망찬 내용을 담고 있는 것이다. 아이들이 배를 타고 만나는 과거의 사람들이 재난으로 죽었다는 이야기도 없고, 아기는 할머니가 되어서 아직 살아있기 때문에.

3. 아이들의 상상을 극화한 것 같다는 생각도 든다. 오전에 만났던 물고기(혹은 다른 동물들)를 다시 만나는 상상을 해본 기억은 대부분 있을 것이다. 이 작품은 이런 상상을 애니메이션으로 만든 것 같다. 온갖 말도 안 되는 상황이 벌어지지만 아무도 이유를 찾지 않는다. 포뇨의 엄마는 마치 신과 같은 존재로 나오지만, 그가 무슨 능력을 가지고 있는지는 언급되지 않는다. 포뇨의 아버지가 어떻게 인간을 포기했는지도 언급이 되지 않는다. 그래서, 오전에 풀어준 물고기가 소녀가 되어서 파도 위를 달리며 내게 다가오는 장면은 정말로 아이들의 꿈 같다.

4. 그렇기 때문에, 이 작품에서는 '설명되지 않는 것'이 많다. 아이들의 상상은 모든 것의 이유를 찾지 않기 때문이다. 필자처럼, 포뇨가 있는 양동이에 수돗물을 넣는 장면을 보면서 기겁하지 않기 때문이다. 하지만 그러면서도, 작품 내에는 '죽음'과 관련된 많은 상징들이 등장한다. 앞에서 설명한 장면들과 함께, <붉은 돼지>의 비행기들의 무덤을 연상시키는 배들의 무덤 장면이 이를 잘 보여준다. 하지만, <붉은 돼지>와 다르게, 배들은 다시금 기능을 되찾아 아이들을 만나러 앞으로 나아간다. 낭만을 좇았지만 현실을 외면할 수 없던 <붉은 돼지>와 다르게 이 작품은 아이들의 관점에서 바라보기 때문이다. 이 작품은 아이들의 관점과 노인의 마음으로 만든 것 같은 작품이다.

- 210105 넷플릭스
리뷰 전문 보기 바다의 수호신 포뇨 하야오 감독이 유치원생들을 위한 애니메이션을 만든다면 거대한 명작이 탄생하는구나? 아이도 저도 넘 좋아하는 애니에요. 넘 귀여워요~~!!^^ 매력적인 캐릭터들의 향연. 다채로운 색감, 놀라운 상상력, 정겨운 캐릭터로 재밌게 볼 수 있는 그림책. 21 06 14 개연성 상실하고도 사랑스러워서 호감. 해일이라는 재난을 표현하는 상상력과 되찾은 평화에 안도하게 된다. 포뇨 좋아
전반적인 이야기는 모르는 사람이 거의 없는 ‘안데르센’의 유명 동화<인어공주>를 모티브로 하였습니다.

바다 속에 살던 여주인공이 지상에 사는 남주인공을 만나게 되고 남주인공처럼 인간이 되고자 하는 소망을 품게 된다는 점은 두 작품 모두 유사합니다. 여기서 <벼랑 위의 포뇨>는 두 주인공을 아직 어린 소녀 소년으로 바꾸면서 영화를 보는 사람들의 연령대를 확 낮추었습니다,

그 동안 봐왔던 ‘미야자키 하야오’의 작품 가운데 가장 귀여운 캐릭터 순위를 꼽으라고 한다면 1위를 ‘토토로’ 2위로 ‘포뇨’를 뽑을 것 같습니다. 그만큼 ‘포뇨’는 ‘토토로’처럼 이름부터가 귀엽고 천진난만한 아이들을 상징하는 캐릭터입니다.

‘토토로’와 ‘포뇨’는 체형은 달라도 어디에 있든 아이들에게 친근한 모습을 각인시켜서 즐거운 추억을 삼아줄 그런 캐릭터로 보입니다.

<벼랑 위의 포뇨>는 <이웃집 토토로>의 바다마을 버전처럼 보입니다. 지극히 단순한 스토리에 지극히 소박하고, 선과 악은 없고 모두가 함께 살아가야 한다는 느낌을 줍니다.

그림체는 주위 배경이나 신비스런 바다 속 캐릭터들의 움직임 등을 통해 가벼운 동화책 한 권을 읽은 것 같죠. 다만 이야기에 집중하기보다 섬세한 작화에만 더 신경 쓴 건 단점으로 보이겠지만요.

‘미야자키 하야오’는 <바람계곡의 나우시카> <천공의 성 라퓨타> <모노노케 히메> <센과 치히로의 행방불명> 등의 작품들을 통해 자연파괴에 대한 비판이 담긴 메시지를 직접적으로 전해주고 있습니다.

<벼랑 위의 포뇨>에서도 버려진 유리병에서 구출된 ‘포뇨’와 쓰레기로 오염된 바다 등의 장면을 통해 자연은 파괴하는 것이 아닌 보호해야 하는 존재임을 전하고 있습니다. 이러한 메시지에서 느껴지는 아이들의 순수함과 대조되는 바다 풍경을 통해 확실히 각인시켜주고, 귀엽기만 한 ‘포뇨’와 ‘소스케’가 앞으로 미래를 짊어지고 살아갈 신세대임을 생각해본다면 간접적으로나마 잘 전달해주고 있는 것 같습니다.
리뷰 전문 보기"
달콤한 인생," - 슬픈 꿈을 꾸었느냐 / 아닙니다. 달콤한 꿈을 꾸었습니다 / 근데 왜 그리 슬피 우느냐 / 그 꿈은 이루어질 수 없기 때문입니다. 한국 영화 중에서 내가 가장 많이 본 영화. 버드나무처럼 흔들리는 마음 하나로 사건을 이렇게까지 확장해나가는 상상력과 대범함, 그리고 무엇보다 그만의 스타일이 남성적 매력의 극치! 클라이맥스가 아름다운 영화 이 영화는 전개도 치밀하지만 특히 마무리는 강렬하면서도 긴 여운을 가졌다 꿈은 이루어질 수 없다, 그냥 꾸는거지. 김지운의 감각적인 연출과 이병헌의 배신당한 부하 연기에 황정민의 양아치 연기가 더해져 완성된 달콤쌉쌀한 복수 이야기 떨어지는 것에는 날개가 없다. 대신 멋은 있다."
타짜: 신의 손," 캐릭터도, 사건도 늘려놓고 중요한 건 1편을 재탕. 나쁘지않음 장황한 판에 짫고 소모적인 캐릭터 활용술 만화 보다 더 만화같이 그려내니 숨이 찰 수밖에, 욕심이 과하고 싸보인다. 재미나게 웃으며 볼수 있었던 드라마 형만한 아우가 없다는 말이 통하는 시리즈. 빠른 진행, 몰입도 높은 전반부는 기대 이상이었지만, 무성의한 농담, 싸구려 연출과 함께 기어코 무너져 내리는 후반부. 전작으로 너무 평가절하되지 않았나 싶은 14년도 수작 간지와 오글거림은 한 끗 차이. 제목의 타짜를 빼면 그제서야 재밌어지는 영화"
헌트," 뭘 비판하고 싶은지 주제의식은 알겠는데 플롯이 엉성해서 내가 모르는 사이 한 10분 정도 졸았나 의심하며서 봄. 30분 동안 재미있었다. 그 뒤로 수직 하강하는 재미. 어설픈 풍자는 역효과만 불러일으킨다. 이것저것 깊은 듯 얕은 듯 결국 관객들만 헷갈린다. 이게 바로 풍자의 맛! 21 01 25 무겁지 않은 시나리오에 시원하게 터지는 몸둥아리를 보고 싶다면. 어이없는 유머까지 곁들여서 먹으니까 체하지도 않고 쑥 넘어간다. 21 01 27 2020-05-01 / - 아니, 뭔 개소리야? - 예, 개소리 맞음요. - 감독 : ??? 무겁지 않은 사회풍자 액션코미디 . 사회풍자적인 내용을 설교하는거 없이 딱 적당한 수준으로 깔아놨고 액션 호러 장르로서의 재미도 놓치지않았다. 게다가 웃기기까지!"
아키라," 아키라
다시 보니 리메이크에 물음표가 폭주하네요.

아키라를 영자원에서 봤습니다.

재작년 재상영판본을 틀어주더군요.

그 때 극장에서 못봤는데 역시 영자원은 사랑이네요.



보면서 계속든 생각은 이걸 실사화할려면 버젯이

엄청나게 많이 들어가야 되겠다라는 생각과 이걸 능가하는 작품이 과연 나올까라는 생각입니다.



30년이 넘은 작화지만 셀애니메이션을 이정도로 완성시킬려면 얼마나 많은 인력과 자금이 필요한걸까 라는 생각이 드네요.



음악도 뛰어나고 액션시퀀스도 아주 좋네요.

전혀 촌스럽지 않습니다.

영화를 보면서 감탄만 했네요.



원작이 마스터피스면 그냥 놔두는게 어떨까라는 생각이 들지만 뭐 몇년 뒤에 리메이크가 어떨지는 모르는 거니 그냥 잘 나오면 좋겠다라는 생각입니다.





아키라 정말 대단한 작품이네요.!! 분위기로만 내달리는 오리지널의 힘.
<아키라>는 저에게 그러니까, 최근 세대가 <매트릭스>를 보는 것과 유사한 느낌이었습니다. 많은 오마쥬들을 보고 또, 영화에 자리잡은 아이디어와 생각들을 발전 시킨 다른 영화들을 많이 본 상황에서 접하게 된 ‘오리지널’이라는 측면에서 저는 <아키라>에 대해서는 기대와 걱정이 공존하는 느낌이었다고 생각합니다.



<아키라>를 보면서 가장 놀랐던 점은 이 영화가 얼마나 ‘날 것’ 혹은 ‘정제되지 않은 에너지’를 지니고 있느냐에 대한 점이라고 생각합니다. 이 점은 다른 컬트의 고전과도 비슷한 느낌이기도 한데, 영화 자체가 나중에 보니 편집과 생략이 많이 된 각색본이라고 하더라구요. 그래서 그런지 영화 자체가 잘 갖춰진 뼈대 위에서 작동한다기 보단 강렬한 에너지로 서사를 뚫고 나가는 느낌이 강렬합니다.



강렬함, 그리고 80년대 버블경제와 재패니메이션의 일종의 정점을 향해 가는 분위기가 결합된 이 영화는 그렇기에 상당히 많은 호불호를 줄 것 같습니다. 그러니까, 당시 사람들이 받았던 ‘충격’은 지금 다시 봤을 때 느끼기엔 많이 아쉬운 영화라고 생각해요. 대신 남는 건 그 분위기와 일종의 나른함과 강렬함이고, 이 부분에서 현재의 관객들이 느끼기엔 호불호가 갈릴 것 같습니다.



<아키라>를 들여다보면 상당히 많은 것들이 보입니다. <메트로폴리스>나 <블레이드 러너>, 혹은 게임 <사이버펑크>의 비주얼, <파이트 클럽>의 폭력성과 파괴, <크로니클>의 서사와 폭발하는 소년이라는 측면 등등. 이 모든 것들이 하나의 영화에서 볼 수 있다는 것 만으로도 굉장히 인상적인 영화는 아닐까 하고 생각해봅니다.
리뷰 전문 보기 . 많은 장면에서 특히나 추격씬이나 폭파씬 등의 연출은 인정되겠으나 살짝의 평판 만큼은 아닌듯함 작화는 완벽 .
이게 34년전의 애니메이션 이라니…

2008년에 나왔다고해도 전혀 밀리지 않을 작화와
세계관, 상상력에서 80년대 일본의 문화적 우월성을
느낄 수 있었음.

이 작품이 나왔을 당시 이미 10대 20대였던 지금의
5060 세대들은 이걸 봤을때 얼마나 충격이 컸었을지
상상이 안가네…

*갑자기 2003년작 국산 애니메이션 <원더풀 데이즈> 가
떠올랐다.. 별로 사이버펑크하지 않은 사이버펑크의 고전. 광란의 사회 속으로 질주하는 SF 애니메이션의 비쥬얼쇼크. 붉게 물들이며 내달리는🏍️"
아메리칸 뷰티, 중년의 위기를 일시불로 받고 싶지 않으면 적당히 할부처럼 나눠 풀고 살자 일상의 소중함에 감사하며 살아야 한다는 공익 광고 뭐라 코멘트를 못달겠다 I refuse to be a victim
몬스터 주식회사," 13년이 흘렀다. 강산도 변했을 것이고, 트랜드는 열두번도 더 변했을 것이다. 무엇하나 변하지 않은 것이 없지만 <몬스터 주식회사>는 변하지 않았다. 13년이란 시간이 무색하게 다시봐도 다시 또 놀랍다.



13년이란 시간이 내 기억을 잡아 먹어서 다시 보면 새롭게 느껴지는 것 때문 일 수 도 있지만 <몬스터 주식회사>를 내일 또 다시 본다고 해도 나는 이 귀엽고 착한 괴물들의 이야기에 다시 또 흥분 할 것 같다.



사람을 무서워 하는 괴물과, 고함소리를 에너지로 생성하는 발상도 기발하지만 영화 곳곳에 묻어 나오는 상상할 수 없었던 장치들은 애니메이션이라는 장르가 할 수 있는 최상의 상상력을 보여준다. 거기에 옷장문을 두고 벌이는 롤러코스트 같은 액션 씬은 또 어떤가. 인디아나 존스를 무색할 정도로 짜릿하다.



최근의 픽사는 <카2> 부터 소재의 고갈인지, 예전 같은 아이디어 번쩍이는 영화들이 나오지 않고 있어서 많이 아쉽지만, <몬스터 주식회사 3D>를 보는 이 순간 다시 또 픽사의 위대함을 본다.



3D로 변환해서 안경을 쓰고 봤지만, 보는 내내 영화에 빠져서 입체감이니 3D니 하는 것들은 전혀 생각이 나지 않았다. <몬스터 주식회사>는 이미 충분히 멋진 작품이고, 이것을 3D로 다시 변환 한다는 것은 3D의 기술을 입혀 더 좋은 영화로 만든다기 보다는 3D라는 핑계로 이 좋은 영화를 다시 볼 수 있다는 기회가 된다는 것만으로도 충분히 만족할 수 있다.



곧 다시 픽사의 번뜩이는 영화를 만나 볼 수 있을 것이라고 믿.는.다. 정말 사랑스러운 작품... 영화를 틀면 어릴 적 추억이 재생된다. 나는 언제까지나 동심을 품고 살고 싶다. 참신한 소재를 잘 풀어냈다 괴물들과 꼬마아이
2001년에 개봉한 영화 <몬스터 주식회사>는 픽사 애니메이션 스튜디오의 작품으로, ‘피트 닥터’ 감독이 연출을 맡았습니다. ‘데이빗 실버맨’과 ‘리 언크리치’ 감독이 공동연출을 맡았습니다.



우선 이 영화는 설정부터가 재밌습니다.



괴물들이 사는 도시에는 다양하면서도 괴상한 모습의 괴물들이 평화롭게 살고 있습니다. 눈이 하나만 있거나 여러 개가 있고, 털복숭이에 팔다리가 촉수로 되어있는 등 아이들이라면 상상만 해도 무서울 것 같은 형상의 괴물들이 회사에서든 집에서든 일상적인 생활을 영위하면서 살아간다는 점이 흥미롭습니다.



또, 밤마다 지구에 있는 어린아이들을 놀래키는 걸 단순한 장난이 아닌 필수적인 일이자 인생의 목표, 자랑거리로 삼고 있고, 아이들의 비명소리를 꼭 필요한 자산으로 삼는다는 점도 놀라웠습니다.



하지만 아이러니하게도 정작 지구의 아이가 이 세계에 들어오면 오히려 놀라는 건 괴물들입니다. 아이들과 접촉하면 감염돼서 죽을 수 있다나 뭐라나. 하지만 천진난만한 ‘부’는 무서워하기는커녕 반대로 즐거워하고 웃으면서 도시를 활보합니다. 그러면 그럴수록 괴물들은 겁에 질려 도망가거나 대책을 찾기 바쁩니다.



이러한 아이러니와 반전 매력은 아이들 입장에서 상상 속의 존재를 더 이상 두려워할 필요가 없다는 긍정적인 메시지를 전해주고, 어른들 입장에선 상대를 두려워하게 만드는 것에서 이득을 취하는 사람들에게 따끔한 경고를 줄 수 있습니다.



<인사이드 아웃>에서 어린 ‘라일리’가 괴상한 생김새를 한 보라색 몸의 상상 속 존재 ‘빙봉’을 좋아했던 이유는 ‘설리’가 그러했듯이 그를 친절하게 대해주었기 때문은 아닐까 싶고, 마지막에 비명소리 대신 웃음의 소리가 전력 공급원으로 대체되는 건 아이들의 원초적인 감정이 웃음이라는 걸 표현하고자 한 것 같습니다.
리뷰 전문 보기 비명소리보단 웃음소리에서 나오는 에너지가 더욱 강하다는 것을 알려준 것이 어린아이이기에 더욱 의미가 있는 ."
조작된 도시," 화려한 스포츠카를 타고 달리는데 기분이 영 찝찝한. 예고편 : 과거 흥행 참패를 했던 이상한 액션 '성냥팔이 소녀의 재림'을 연상케 했다. 앞뒤 연결이 도무지 안 되는 예고편 때문에 영화에 대한 기대치가 한없이 떨어졌다. 게다가 2시간이 넘는 상영시간이라 볼 자신이 없었다.

초반 : 초반부터 정신없이 몰아치는 전개 속도, '권유'가 죄를 뒤집어쓰고 교도소에 들어가는 장면은 ""폭력성을 테스트하기 위해 PC방의 전원을 내려보았습니다""라고 보도하며 '폭력성 짙은 게임은 사람을 망친다'는 MBC 뉴스가 생각났다. 다만, 세상과 단절된 산속 교도소로 들어가면서 전체 흐름으로부터 잠시 단절되기도 했다.

중반 이후 : '권유'가 누명을 벗기 위해 세상으로 다시 나오는 순간부터 박광현 감독이 숨겨두었던 다이너마이트들이 하나둘씩 터지기 시작했다. 특히, 어둠 속에서 펼치는 지창욱의 액션과 소박한 경차로 국내에 길이 남을 카체이싱을 연출한 건 압권. '아수라'와 '공조'를 합쳐도 '조작된 도시'보다 못하다. '신스틸러' 김슬기의 존재감 잊지 못한다.

총평 : '조작된 도시'의 본편은 예고편과 전혀 상반된 매력을 표출했다. 국내에서 구현되기 힘든 초대형 액션 영화지만 그 액션이 폭발하기까지 기다리는 시간이 너무나도 오래 걸렸다.

-2017년 1월 31일 '조작된 도시' 언론/배급 시사회 관람-

원문링크 : http://www.munhwanews.com/news/articleView.html?idxno=37488 우연의 연속에다가 서사 부족 팝콘무비도 안된다 스토리가 좀 구리긴 하지만 반전이나 액션,연출은 좋다 달리긴 달리는데 다리가 자기 다리가 아닌듯 지창욱 배우 때문에 좋았나? .
좀 비현실적이면 안 되나?
솔직히 오락영화로써의 기능을 톡톡히 한다. 비주얼적인 완성도가 높고 소재도 신선하고, 속도감 있는 전개에 지루할 틈 없이 볼 수 있었다.
다만 페이스 유지가 잘 안 된 듯 싶다.
뒤로 갈 수록 맥이 빠지는 전개에, 불필요한 욕설과 노골적인 폭력 묘사가 많아- 영화를 보는 도중 순간적으로 피로도가 몰려온다.
또, 여성 캐릭터 활용도도 아쉽다.
특히 이하늬 배우가 맡은 사무장 역할은
전형적인 데코용 인물..... 오프닝의 유치한 나레이션에 움찔. 그래 폭주족들이 이유가 있어서 폭주 뛰겠니 스토리에 질질 끌려다니는 느낌. 이해하려다가 끝남"
더 폴: 오디어스와 환상의 문," 이야기는 이렇게 사람을 구해낸다. 스크린 너머에 있는, 굴러떨어질 수는 있지만 죽어서는 안 되는 모두의 이야기 (인데 왜 이렇게 흑인은 스테레오 타입이고 여자는 비취인지) 스턴트계의 시네마천국 영화관에서 보지 않으면 의미없는 영화. (영화의전당 근처에 살았던 것을 축복으로 생각한다) 아이를 속이기 위해 꾸며낸 이야기조차 아이에겐 무엇보다 신나는 이야기였다. 제발 재개봉해주라... 영화관에서 봐야해 한국 포스터 바꿔주고싶다.. 그냥 영화 스틸에 텍스트만 박아도 명화인데 왜.. Are you trying to save my soul?
판의 미로에서 오필리아는 자신의 동화 속에서 죽음도, 현실도 극복했지만 로이는 알렉산드리아의 동화를 이용해 자살을 시도한다. 누군가 말하더라. 악인에 의해 남겨진 상처는 영혼에 고통을 줄 수 없지만, 사랑하는 이로부터의 상처야 말로 가장 잔인한 고통이라고.

CG를 전혀 쓰지 않은 영상은 상상을 초월할 정도로 아름답지만 현실적이다. 모든 것을 압도하는 영화. 추락하는 모든 이를 위하여.

그러나 이 영화의 가장 큰 비극은 알렉산드리아가 다시 오렌지 농장으로 돌아간다는 것. 이보다 더 시각적으로 환상적일 순 없다. 수많은 세계의 풍경이 그려내는 환상의 이면에는 현실이 있다."
