title,reviews
극장판 짱구는 못말려 9기: 어른 제국의 역습," 극장판 짱구는 못말려 시리즈 중 단연 베스트. 만약 애니메이션을 누군가에게 단 10분 밖에 보여줄 수 없다면, 나는 주저없이 <업>의 오프닝 시퀀스와 이 작품 속 짱구아빠의 회상 시퀀스를 고를 것이다. 하라 케이이치는 지금보다 훨씬 더 주목받아야 할 필요가 있는 감독이다. 짱구 특유의 유치함은 있지만, 신형만의 회상 장면 부터 영화의 마지막 30분이 정말 감동적이다. 너무 슬펐다.짱구가 어른스럽게 느껴졌다. 어릴 땐 이해할 수 없었는데, 어른이 되니 알겠다. 나도 과거가 그립다. 지독하게 추하고 더러운 21세기의 발냄새지만 지난 과거의 추억들을 담고 있으니. 히로시의 회상. 음악의 위대함을 새삼스럽게 한 번 더 느낀다 어른들은 과거를 원한다, 결국은 현재를 외면하며 덩그러니 누워 있는걸 원하니까. 어른 제국의 역습
20세기를 놓을 수 없는 어른들과, 그럼에도, 상처입고 넘어지더라도 다시 일어나서, 모든 생을 위하여, 21세기를 살아나가겠다는 의지.
이런 작품을 2001년에 만들었다는 선구안.

편안한 과거에 안주하지 않고 불확실한 미래로 나아가겠다는 의지를 담은, 특정 시점에 국한되지않은 보편적인 메시지이기도 하다."
먼 훗날 우리," 오롯이 나를 위했던 삶이 너로 인해서 우리를 위한 삶으로 변했고, 너의 행복을 보는 것이 나의 행복이었다. 너를 위해 버티며 내 모든걸 바쳤지만, 함께 있는게 서로를 갉아먹는 일이라고 느껴진 순간, 우리는 이별을 선택했다. 오랜 시간이 흘러 옛사랑인 너를 다시 마주한 지금, 우리는 원했던 모든걸 가졌지만, 여기에는 가장 중요한 '우리'가 없다. 그때의 우리와 지금의 우리는 너무나도 달라져있다. 그때의 우리 모습은 아직도 손을 뻗으면 닿을듯 선명하고, 그때의 너와 지금의 너는 하나도 달라진게 없지만, 지금의 나는 너에게 닿을 수 없다. 수많은 '만약'으로 그때 다른 선택을 했다면 우리의 지금이 달랐을까 가정해봐도, 지금 우리가 알고 있는걸 그때의 우리가 알 수 없었으니, 어쨌든 결론은 같다. 지금의 우리가 그때의 우리처럼 함께 행복할 순 없지만, 나는 영원히 너를 사랑해. 내가 놓쳐버린, 내 평생의 사랑.
(2019.03.28)
리뷰 전문 보기 만 훗날 우리
중국 상반기를 휩쓸었고, 중국의 영상물 규제 강화가 얼마전 시작됐기 때문에 더 이상 이런 영화는 볼수 없다. 중국 안녕이다.
이 영화는 시간이 지나 이뤄지지 못한 연인에 대한 이야기다. 다만, 중국본토의 연인에 대한 이야기를 하고 있지만, 그들이 겪는 상실과 패배감은 그들이 살고 있는 중국이라는 세계가 변화하는 과정에서 기인되는 것이다. 그리고 그 안에서의 선택과 책임은 자신들의 것이다. 영화는 끝에 가서야 그들이 한 행동에 대한 결과를 받아들인다.
처음에는 사랑의 이야기로 시작을 했으나 결말에 가서는 사랑으로 끝맺어지지 않는다. 베이징이라는 꿈이라는 것과 집,가족라는 이라는 안식처에 대한 이야기 일수도 있겠다. 너와 내가 우리였던 시간을 기억할 거야
자극적이지 않고 담백한, 그러면서도 현실적인 연애를 다룬 영화는 공감대를 불러일으키는 요소가 다분했다. 특히 주인공들의 나이가 20대 초반으로 설정되어 있어서 그 시기를 지나온 이들이라면 미안했던 그때의 사랑에 마음이 기울어질 수밖에 없었다.
후반으로 가면 갈수록 영화에 대한 감정에 푹 빠지게 됐다. 진정한 안녕을 말할 때 그랬고, 이후에 젠칭의 아버지가 샤오샤오에 미처 보내지 못한 편지를 뒤늦게 읽을 때 눈물이 왈칵 쏟아졌다. 이후 젠칭이 아버지에 대한 그리움을 드러내는 장면 역시 마음을 뒤흔들었다.

중국 영화는 좋았던 작품보다 별로였던 작품이 많은데, 이 영화만큼은 손에 꼽을 만큼 좋았다.
리뷰 전문 보기 우리가 헤어지면
过得不好 我肯定会难过
guò dé bù hǎo wǒ kěn dìng huì nán guò

过得好吧 我也会难过
guò dé hǎo ba wǒ yě huì nán guò

跟我过得差不多吧
gēn wǒ guò dé chà bù duō ba

比我差一点就行
bǐ wǒ chà yī diǎn jiù xíng

네가 못 지내면 괴롭겠지
잘 지내도 괴로울 테고
나랑 비슷하게 지내라
아니면 조금만 더 불행하게 못남을 낭만으로 포장하려는게 불쾌함 엔딩이 어떻게 됐든, 그때 우린 꽤 애틋했네. ""소중한 이를 잃기 전에 미안하다고 말하세요. 더 늦기전에 사랑한다고 말하세요"" 잔잔하고 이별을 현실적으로 표현해냈다 모든 게 있어도, 너는 없을 때."
한 남자," 나에게 나의 이름이 주는 무게는 얼마나 될까? 타인의 삶을 통해 돌아본 나의 모습 이런 작품을 다시 볼 때마다 그 느낌을 느낄 수 있나? 이름은 나만의 것이 아니다. 내 이름은 내게 적혀지는 일이 많을까? 남한테 불러지는 일이 많을까? 그저 다정한 남편이자 두 아이의 아버지였던 한 남자, 과연 진짜 한 명만의 이야기인가? 온전한 나를 찾으려 노력하는 다양한 인간들의 여정 겹겹이 쓰인 이름들, 그 밑에 가려진 진짜를 인정하지 않는 세상 본질과 멀어질수록 나와 가까워지는 기묘한 체험"
엽기적인 그녀," 꽁냥꽁냥 진짜 사랑스럽다... 차태현, 전지현의 소싯적 모습을 보는 것만으로도 가치 충분. 어렸을때 소설로 먼저 읽고 영화를 봤는데 차태현과 전지현이 정말 딱이였다! 신승훈의 i believe 는 아직도 내 플레이리스트에 있다. 한국 최고의 로맨틱코미디 계속 코믹으로 진행하다가 결말 부분에서 큰 감동을 준다 나 잡아봐라~~~ 한국 영화 불멸의 로맨틱 코미디. 전지현 배우님의 얼굴이 개연성"
파프리카," 3점 준 걸 고맙게 생각해라 일일이 열거하기도 손 아프고 입 아픈 음습하고 더러운 속내. 화려한 미장센에 별2개 묻어둔 감정들은 결국 꿈으로 터져나와버리니 SNS라는 도구가 수면 아래에 있던 음지를 꺼내오는 것처럼. 영화 같은 꿈, 꿈 같은 영화. 영화가 존재하는 이상 영원히 지속될 그 꿈을 헤매고 싶은 우리. 장자도 놀랄만한 꿉꿉하고 기괴한 감성, 파프리카처럼 정말 매콤 달콤한 영화. 애니메이션이라서 할 수 있는 모든 기교를 영화에 넣었다는 점이 맘에 드네요. 어지럽고 난해한데 너무 재밌어요"
니모를 찾아서," 사라진 ‘니모’를 찾는 과정에서 그의 교육방식은 완전 잘못되었고, 자식을 진정으로 사랑한다면 올바르게 가르치고 싶다면 자유로이 풀어주는 것이 중요하다는 사실
2003년에 개봉한 영화 <니모를 찾아서>는 픽사 애니메이션 스튜디오에서 제작한 작품으로, ‘앤드류 스탠튼’ 감독이 연출을 맡았습니다. 감독은 이 영화로 아카데미 시상식에서 장편 애니메이션 상을 수상했으며, 이 영화의 후속편인 <도리를 찾아서>와 또 다른 대표작 <월-E>를 연출했습니다.



모 기사에 따르면 ‘앤드류 스탠튼’은 픽사의 아홉 번째 직원으로 <토이 스토리>를 포함한 픽사의 모든 장편애니메이션에 공동작가로 참여했습니다. 그는 어린 시절 병원 수족관을 구경하는 재미에 치과를 자주 찾았던 추억, 아들과 모처럼 시간을 내도 매번 간섭하는 과보호로 만사를 망치는 아빠가 된 자신에 대한 반성이 <니모를 찾아서>의 아이디어로 이어졌다고 합니다.



픽사의 상상력은 언제나 봐도 뛰어나다고 생각합니다. 장난감부터 인간의 감정, 4원소, 태어나기 이전 세계의 영혼들을 의인화시키는가 하면, 슈퍼히어로나 평범한 인간도 주인공으로 만들죠. 그리고 그 안에서 피어나는 스토리는 우리에게 언제나 큰 울림을 주는 메시지로 각인시키고 있습니다.



제 개인적으로 이 영화 이전까지 바다 속의 풍경과 그 속에 사는 물고기 등의 캐릭터를 잘 살리고 행동양식을 잘 파악한 작품은 <인어공주>라고 봤습니다. 공주인 ‘에리얼’을 물심양면 도와주는 다양한 캐릭터들의 매력이 잘 살아있었죠.



<니모를 찾아서>도 마찬가지로 주요 배경을 바다 생태계로 잡고 있고, 모든 캐릭터들이 바다에서 살아가는 생명체 또는 바다 위에서 살아가는 새들입니다. 그들은 흰동가리, 블루탱, 상어 같은 어종부터 바다거북이나 심해 아귀, 펠리컨 등 저마다 종은 제각각 다르지만 각 캐릭터에 대한 묘사나 매력을 한껏 살려내서 재밌게 볼 수 있었습니다.



캐릭터에 대한 아이러니도 잘 담겨 있습니다. ‘말린’과 ‘니모’는 흰동가리라는 어종으로 광대어(Clown fish)라고도 불리는데 광대임에도 남들을 웃길 줄 모른다고 놀림을 받고, ‘브루스’라는 캐릭터는 백상아리이지만 채식주의자라는 반대되는 설정을 넣었습니다. 하지만 피 냄새를 맡으면 본성이 되살아나면서 공격태세를 갖추기도 하죠.



조연으로 나오는 ‘도리’도 재밌습니다. 그녀는 단기 기억상실증을 앓고 있어서 자기가 했던 말을 자주 까먹곤 합니다. 그래서 ‘말린’과 동행할 땐 아무 도움도 안 될 것 같지만 인생에 대한 조언은 물론이고, 길을 잃어 해매지 않고 정확한 이정표를 알려주는 참으로 고마운 친구의 역할을 맡고 있었습니다.



가족을 모두 잃은 ‘말린’에게 유일한 핏줄이라곤 ‘니모’밖에 없었습니다. 거기다 ‘니모’는 꼬치고기의 습격 과정에서 알이 다치는 바람에 한쪽 지느러미가 불편합니다. 그래서 ‘말린’은 ‘니모’를 과보호 하듯이 키울 수밖에 없었죠.



하지만 사라진 ‘니모’를 찾는 과정에서 그의 교육방식은 완전 잘못되었고, 자식을 진정으로 사랑한다면 올바르게 가르치고 싶다면 자유로이 풀어주는 것이 중요하다는 사실을 깨닫게 됩니다.



즉 <니모를 찾아서>는 자식인 너를 찾으면서 잘못된 나를 되돌아보고 너를 놓아주는 감동적인 가족드라마라고 볼 수 있습니다.
리뷰 전문 보기 Just keep swimming 픽사의 상상력은 끝이 없다. 때가 됐을 때, 자식을 놓아줄 수 있어야 부모는 한 단계 성장한다. 부자간의 관계에 대한 갈등을 잘 드러내면서 동시에 재미도 챙겼다 아이가 성장하는 만큼 부모도 함께 성장한다. 아들과 아버지의 성장기. 가정의 상처가 여물며 부자가 서로를 이해하기까지 아무일도 일어나지 않으면 아무일도 일어나지 않는단다"
투모로우, 당시에 봤었다면 단순한 재난 영화로 보고 말았을 듯한. 오히려 옛날 영화가 더 양호해 보이는 롤랜드 에머리히. 여전히 몰입하게 되는 이야기와 캐릭터를 가진 재난 영화 과학적이고 논리적으로 설명하여 우리에게 경각심을 갖게한다 2004년 작품이라는 것이 믿기지 않을정도로 수준 높고 잘 짜여진 영화이다. 영화가 주는 교훈과 스토리 등 모든 것이 잘 어우러져있으며 잘 만들어진 재난영화. 재난 영화 중에서는 최고. 예전에 봤을 때는 재밌는 재난 영화였으나 지금은 이게 멀지않은 현실이 될 수도 있겠다는 생각을 가끔해요 스토리 - ★★★ 연기력 - ★★★ 몰입도 - ★★★ 마무리가 너무 아쉬운데 자유의 여신상은 정말 임팩트있었다. 에머리히는 『투모로우』 이후로 퇴화하는 듯 하다.
멜랑콜리아," 외핵의 충돌보다 내핵의 충돌이 더 두렵다는 것은 라스 폰 트리에의 재난영화?
‘멜랑콜리아’라는 이름의 행성이 지구를 향해 날아온다. 과학자들은 그 거대한 행성이 수성, 금성을 지나왔을 때와 마찬가지로 지구와 충돌하지 않고 빗겨 지나갈 것으로 계산하지만, 늘 그렇듯 예언가들은 지구 종말을 예고한다. 그리고, 행성은 지구와 점점 가까워진다. 이쯤되면 자연스럽게 마이클 베이나 롤렌드 에머리히의 이름이 머리를 스칠테지만, 놀라지 마시라. <멜랑콜리아>는 라스 폰 트리에의 신작이다.

그렇다고 그가 블록버스터에 도전한 것은 아니다. 그는 철저히 자신이 해왔던 방식 그대로 지구 종말을 스크린 위에 구현해 보인다. 혹시라도 해피엔딩을 기대했다면 어서 단념하시길. 다시 말하지만 이건 지독하게 염세적인 라스 폰 트리에의 영화다. 때문에 <멜랑콜리아>가 지구 종말로 끝이 난다는 사실은 새삼 스포일러 꺼리도 되지 못한다. 영화의 방점은 행성과 지구의 충돌 여부가 아닌, 지구 종말을 맞게 되는 주인공들의 감정과 정서에 찍혀 있다.

바그너의 트리스탄과 이졸데 서곡으로 사뭇 비장하게 문을 연 영화는 모두 2장에 걸쳐서 이야기를 전개한다. 1장의 제목은 ‘저스틴’이며 2장의 제목은 ‘클레어’다. 각각 커스틴 던스트와 샤를로뜨 갱스부르가 주연을 맡은 두 자매의 이름. 1장이 동생 저스틴의 성대한 결혼식을 배경으로 심각한 우울증에 시달리는 그녀의 모습을 스크린 위에 서걱서걱 써내려가고 있다면, 2장에서는 죽음과 종말의 두려움에 몸부림치는 언니 클레어의 감정을 숨 막힐 듯 조여 오는 서스펜스 하에서 크레센도로 나아가며 표현한다.

오프닝과 엔딩이 매혹적인 영화다. 비단 시각적으로 그런 것만이 아니라 심적으로도 그렇다. 전체 줄거리를 하나의 시퀀스로 요약하여 슬로우 모션으로 느릿느릿 제시하고 있는 오프닝에서, 우울증에 속박된 저스틴의 정서를 굵은 밧줄에 팔다리가 묶인 채 버겁게 달려가는 모습으로 형상화 한 것(본문 스틸 참조)이 특히나 인상적으로 느껴졌다. 지나치게 직설적인 화법으로 다가와 관객을 압도해 버리는 무시무시한 엔딩도 마찬가지. <멜랑콜리아>는 아름다운 종말의 서사와 창의적인 우울의 묘사가 조화롭게 어우러진 한 편의 오페라다. “우울과 불안의 아름다운 변주”
‘멜랑콜리아’라는 슬픈 감정.
더 커져버리면 우울증을 야기한다.

1부와 2부로 나누어져 이야기가 전개되는데,
‘멜랑콜리아’의 의미를 담은 공통분모가 존재한다.

1부는 내부에서 외부의 파괴를,
2부는 외부에서 내부의 파괴를 보여준다.

각 부분으로 나누어져 초점이 맞추어지는 인물은 다르지만 이 영화는 결국에 합쳐서 봐야한다 생각한다.

‘우울, 불안’ 이러한 감정들은 서서히 다가오며,
멀어지는지 가까워지는지 느껴지지 않는다.
후에 이것들은 끝내 ‘죽음’이라는 결과를 상상하는 상태로 도달시킨다.

누구나 가끔 마주치지 않은 우울과 불안을 걱정할 것이며, 죽음에 있어 두려워 할 것이다.

반면에 이미 그것을 마주한 사람은 더이상 외부로부터의 파괴가 감흥이 없고 매일을 살아갈때 찾아오는
내부로부터 오는 자기파괴가 더 크게 느껴져
오히려 죽음에 있어 무던할 수 있다.

스토리와 영화 속 분위기와는 다르게 아름다운 장면이 많다.

특히 ‘멜랑콜리아’가 지구에 가까워 질때마다 파랗게 변하는 장면은 그 어떤 장면보다도 아름다웠다. 마음이 폐허가 되는 풍경. .
오프닝(예술이다 예술)만 보면 라스 폰 트리에 감독은 왓치맨 같은 비주얼 느와르 대작도 아주 멋들어지게 잘 만들 것 같다.

우울증에 걸린 사람만 이해할 수 있는 커스틴 더스트의 표정 연기는 그 자체만으로 완벽하게 우울증을 표현하였다. 내가 죽겠는데 세상이 무너지는 게 무슨 걱정이랴. 본인 입장에선 차라리 마음의 위로를 받을 수 있는 이벤트일 수도 있다.

우울증도 병이다. 약 좀 먹고, 상담도 좀 받고.. 하지만 혼자 견뎌내기엔(혼자 있고 싶겠지만) 너무 어려운 병이다. 자그마한 인간이 막기엔 너무나 거대한 우울의 크기. 부정적 감정이 커지고 커진 상태에서 현실로 더 큰 부정적 상황이 도래했을때의 평온 누군가에게는 삶보다 가치있는 죽음 행성 이름을 왜. 비참한 삶, 희망찬 죽음."
28일 후," 워킹데드를 먼저 봐서 이 영화의 매력을 제대로 못느껴 아쉽다. 영화는 개봉했을때, 아직 다른 컨텐츠에서 조각조각 활용하기 이전에 봐야한다는 걸 깨닫는 계기가 된 작품이다. 수많은 지옥중 인간성과 존엄성이 없어진 지옥 시체가 아니라 살아있는 사람이 미쳐버린다는 게 무서웠음. . 원초적인 좀비 영화의 긴장감 황량한 런던이 참 인상적이나. 다만 저화질과 조명구도가 자꾸 저예산임을 상기시켜 몰입은 잘 안 된다. 장르에 대한 새로운 장을 열었다기엔 눈 뜨고 보기힘든 플롯 다섯 손가락 안에 드는 좀비영화! 얼른 28년 후도 만났으면!!"
사랑도 통역이 되나요?," 타국에 대한 편협한 시선을 제외한다면, 수작. 고독과 권태의 로맨틱 코미디. .
21 12 16 낯선 환경에서 사무치는 외로움. 넓은 사회 속 투명한 울타리에 갇혀 고립되어 있을 때 타인과의 작은 공통점 하나가 주는 유대감과 친밀감은 말로 표현할 수 없다. 보면서 외로웠던 타지 생활이 떠올랐다. 그럼에도 영화를 마냥 즐길 수는 없었던 게 동양인에 대한 불편한 유머와 표현이 분명 있었고, 한참 나이 많은 아저씨 이제 막 성인이 된 샬롯과의 관계를 순수한 눈으로만 보기 어려웠다는 것이다. 비슷한 또래가 아니었기에 로맨틱한 느낌보다 인간과 인간과의 유대로 보다 쉽게 느껴질 수 있었겠다 생각했지만 이 영화가 끝도 없이 나를 해명하게 만들었다는 게 아쉬웠다. 오프닝부터 마음에 안든다. 내내 일본을 영어 통역 하나 제대로 못해주는 야만스러운 이미지를 늘여놓고 잘나가는 외로운 중년의 위기 남자 배우에게 젊은 여자를 붙여놓는 뻔한 스테레오 Lost in Translation
이국에서의 낯설음과 공허함, 그리고 그 속에서 느끼는 유대감을 다루는 톤은 분명히 좋지만,
아시안을 일부러 우스꽝스럽게 묘사하며 아주 깔보는 인종차별적 태도가 역겹다.
중년의 위기를 겪는 유부남과 젊은 여자의 낭만적 썸씽이라는 속보이는 이야기도 그때문에 설득력을 잃는다. 지루함과 막막함이 교차하는 이국의 외로움 관계의 오역 속에서 허우적대다 힘겹게 교감하는 외로운 이들. 오늘도 타지에서 외로움 속에 살고 있을 사람들에게,"
