titles,reviews
리플리," 아름다운 눈빛에 나도 속아넘어간듯… 안본 눈 돈 주고라도 사고 싶은 인생 최고 영화 거짓말을 감추려면 수십가지의 거짓말이 필요하지 내가 아닌 나로써 살다가는 결국 이렇게. 혼이 닮긴 구라에 넋이라도 있고 없고. 네가 되려다 내 안에 가둬버린 처연한 나라는 존재. 스토리 - ★★ 연기력 - ★★★ 몰입도 - ★★★ 이 영화는 리플리 증후군이라고 이야기하지만 나는 그냥 신분도용 사기꾼 이야기라고 생각이 든다. 사실 우리의 인생도 비슷하다 언제든 우리도 저렇게 될 수 있다는 불안감, 불쾌감."
용감한 시민, 학교폭력 일찐 참교육에다가 복싱 고양이 한 마리 추가 학교 폭력과 교권 침해라는 시의적절한 소재를 엔터테인먼트적인 시선으로 연출했을 때 벌어지는 안타까운 현상을 보고 싶다면. 때 지난 연출 때문인지 클라이맥스에 터져야하는 톡 쏘는 사이다 같은 복수가 김빠진 사이다가 되어버렸다 한줄평 (영상 포함) 신혜선이 신혜선 했다! 한국영화 팟팅!★♥ 😎 어마어마한 배꼽잡는 웃음은 아니지만 유쾌한 웃음으로 즐기는 영화. 학폭장면은 개취에 따라 호불호가 갈릴듯. 개연성을 위해 필요했겠지만 난 불호 ㅠ 잠깐 귀막고 눈감으면됨 웬만하면 극은 극으로만 보자 주의지만 이건 설정이 과해도 너무 과하다. 신혜선배우 좋아해서 봤는데 그마저 없었으면 끝까지 못봤을듯 정의의 이름으로 널 용서하지 않겠다! 설득력 없는 정형화된 캐릭터들로 인해 그다지 통쾌하지 않다.
펄프 픽션," 왜 극찬을 받는 영화인지는 잘 모르겠다. 쿠엔틴타란티노에서만 느낄수 있는 타락적이고 피비릿내나는 분 위기가 최고 쿠엔틴의 영화는 많은 생각을 할 필요없이 단지 즐기면 된다. 피터지고 말이 거칠어도 거부하지 말아라. 그러는 순간 당연히 부정적으로 밖에 안보일 것이다.
유쾌하고 신나는 노래, 직설적이고 때론 비굴한 대화와 언어 그리고 잔인하면서 시원한 액션에 시간이 지날수록 계속 빠져든다. 거침없고 막힘없는 달변가의 술자리 싸구려 무용담의 향연 블랙 코미디 안에서도 캐릭터를 잃지 않는 법. 모든 인물의 모든 대사와 행동이 잊혀지지 않게 하는 법. 94년 개봉당시엔 파격적인 영화였겠지만 20년지난 지금은, 그간 패러디와 오마쥬로 익숙한듯, 친숙하지 않은, 특이한듯 평이함... 세상 쿨하게 타란티노 영화철학의 근간을 확인한다. 가끔은 뇌를 비우고 아무 의미 없는 것들이 끌릴 때가 있지"
아가일," 킹스맨 맛이나는 감성액션로맨스댄싱포유 믿고 먹는 김치찌개 장인들의 뒤집어지는 스파이쇼 개병맛이라면 이런걸까 고도의 뇌절은 예술이다 (알피가 세상을 구한다) 피드백을 받고 나온 매튜 본 감독의 절치부심이 여기저기에서 느껴진다. 매튜 본 감독 특유의 스타일과 전개를 보여주면서 동시에 고양이를 앞세운 엉뚱함과 귀여움을 추가 기대보단 실망스럽다. 매튜본만의 킹스맨 감성이 가미되어 있지만, 다소 유치하고 후반부로 갈수록 루즈해졌다. 007과는 다른 고급스러운 B급 첩보물 시리즈로 거듭나길 기대하는 작품입니다 유쾌함을 기어코 설득해낸다. 피 튀기면 또라이같아서 좋았을 것 같은 장면들이 피가 거의 안 나오니 유치해 보이면서 그냥 넘어갈만한 단점들도 부각시킨다"
범죄도시 3," 마석도 캐릭터 유지에 힘을 많이 주는 건 여전한데, 조연 인물들의 뒷받침은 아쉽다.
장소를 옮겨 진행되는 이번 3편 소식에 걱정되었던 건 아무래도 주연 배우보다는 조연의 변화였다. 연속으로 이어지는 인물들과의 시너지는 무시하지 못할텐데, 무대의 변화로 새로운 것을 시도하는 것은 장단을 다 가지고 있을테니까.

2편을 보면서 생각했던 90년대 성룡 영화들(폴리스 스토리등) 이나 헐리우드의 리쎌웨폰등과 같이 주인공 중심의 액션 영화 스타일에서 조연은 감초 역할을 톡톡히 해주는 부분이 있었다.
범죄도시 1&2 모두 그런면에서 신선함과 익숙함에서 오는 것들을 잘 섞었다면 이번 3편은 아직 덜 익은 느낌이 든다고 할만큼 아쉬운 부분들이 들어왔다. 그래도 마석도라는 캐릭터를 중심으로 전개되는 시리즈인만큼 중요시 하는 부분은 잘 살렸다.
그렇다고 웃긴 요소가 없다는 건 아닌데, 시리즈인 만큼 전작과 비교를 할 수 밖에 없으니.

2편의 총알같은 아찔한 타격감까지는 아니지만 살릴 부분은 잘 살렸다. 특히나 이번 액션들은 중 몇개는 특정 종목이 생각날만한 움직임이었고, 카메라가 잘 잡아냈다. 다만, 딱 한 부분에서 놀란 영화가 보여주는 액션에서 들키지 말아야 할 헛손이 보이기도 했다. 편집해도 될 부분 같긴한데.
더해서 초반 부분에서 소리와 액션 싱크가 아주 조금 안맞는다고 느꼈는데, 긴가민가한 상황.

이야기 구성은 큰 틀을 벗어나지 않는 부분들이라 감상에 있어 크게 신경을 안썼고, 인물의 등장에서 ‘관상’이나 ‘끝까지 간다’가 너무 인상적이어서 비교아닌 비교가 되는 부분이지만 이상하지는 않다. 극에 방해될 부분은 없었으니.

2편부터는 예전 향수를 자극하는 시리즈가 되어서 앞으로 8편까지 잘 갈무리해서 큰 흔들림없이 이어지길 바라면서, 쿠키는 1개. 모텔씬에서는 진짜 오열함(너무 웃겨서)ㅋㅋㅋㅋㅋ 한층더 무자비해진 액션과 주먹. 풀롯이 중요하랴 통쾌하면 됐지. Ott 전성시대 시리즈를 이어가주는 것만으로도 감사. <이 맛이 아닌데...>
영화를 보고 가장 먼저 드는 감정은 불안감이다. 1편의 후속작이 나온다 했을때 불안을 단번에 기우로 만들어버린 2편에 비해 이번 3편은 앞으로 나올 시리즈에대한 기대가 아닌 걱정만 한가득 남긴다.

이번 편에서는 범죄도시 시리즈만의 매력은 거의 사라지고 단순히 마동석의 주먹만 남았다. 1편과 2편에서는 극악무도하고 독보적인 빌런 장첸과 강해상을 중심으로 마동석과 주변 감초 동료들의 티키타카를 적재적소에 넣어가며 한국 범죄오락물도 성공할 수 있음을 당당히 보여줬다. 오죽하면 한국영화의 희망이라 불릴정도니까 말은 다했다.

3편에서는 유머가 늘어나긴 했지만 예전에 알던 그 맛도 아닐뿐더러 그 어느 악역도 기억에 남지 않는다. 굳이 꼽자면 아주 잠깐 나왔던 쿠니무라 준이 오히려 가장 인상적일정도다. 빌런들 모두가 똥폼을 엄청 잡아대는데 무게감은 1도 없고 오글거린다.

그외에도 심지어 마동석 주변 형사들도 모두 대체되어 주고받는 대사들도 살짝씩 삐그덕거린다. 특히 1,2편의 반장역할이 이범수 배우로 대체되었는데 정말 연기력도 연기력이지만 역할을 1%도 살리지 못했다.

영화의 초중반부를 보면서 왠지 모르게 공조가 생각날정도로 양산형 한국 범죄오락물로 전락해가는 느낌이 많이 들었고 계속되는 마동석의 강한 펀치에도 점점 무뎌져 지루하기까지 했다.

괜히 일본 야쿠자를 넣어서 빌런의 매력을 반감시키고 주먹과 칼날 액션의 합도 그리 잘 맞지는 않는다.

영화가 끝나고 쿠키 영상 하나가 나오는데 후속편을 생각하면 기대반 걱정반이다. 8편까지 계획을 했다고 하지만 이런식이면 몰개성한 한국범죄 영화에 불과하다. 범죄도시라는 기대치가 높은 타이틀을 잃지 않고 4편에서는 더 좋은 모습을 보여줬으면 좋겠다.

보면서 가장 크게 웃은 장면 '다마레'
리뷰 전문 보기 개그요소가 조금민 적었더라면... 여전히 매섭지만 슬슬 닳아가기 시작한 주먹. 이제는 조금 아프다고 말하지만, 그래도 아직은 '마석도'의 미사일 주먹 시놉시스 한 줄에 전편들을 재료로 넣고 AI로 학습시키면 딱 이런 영화가 나올 것 같다. 전작에서 보여준 유쾌함과 통쾌함은 어디로 가고 산만함만 남았다.
마동석만 믿고 관람하기엔 너무 얕아지고 가벼워진 서사들.

전작에서는 액션씬마다 느껴지는 긴장감과 통쾌함이 찡하게 왔는데 이번 작품에서는 그런 점들이 하나도 안 느껴지고 코미디적인 요소들도 더 옅어진 듯한 느낌이 계속 들었으며 빌런이 두명이나 되서 1번 빌런의 악날함을 보여줬다가 2번 빌런의 악날함을 보여주려고 난잡하게 진행되다가 보니 어느 빌런의 악날함도 인상 깊게 남지 않았다.

게다가 1,2편에서 보여준 조연들까지 갈아치웠는데 바뀐 조연들의 매력들도 거의 보이지 않아 많이 아쉬웠다. 광수대 형사들이 병풍 역할에 치중된 것 같아서 많이 아쉬우나 마동석의 속 뻥 뚫리는 원펀치 액션은 여전히 큰 장르임을 여실히 보여준다."
줄무늬 파자마를 입은 소년," 여타의 잔인한 묘사나 설명 없이도, 홀로코스트의 비극을 극명하게 드러내는 잔혹한 동화. 어린아이의 눈에 비쳐진 ""이해가 안되는"" 모습들로 하여금 그 만행을 고발하고 다시 새겨넣는데 주력한다. 참혹한 결말과 아이러니가 가져오는 충격이 상당한 편. 줄거리의 굴곡이 크진 않지만, 시선의 변화를 통해 주제의식에 통렬히 다가선다. 90분이라는 러닝타임은 상당히 빨리 지나감과 동시에 매우 짧은 시간축에 속한다. 이 영화는 그 90분 동안 강렬하게 모든 것을 표현했다.

1940년대 2차 세계대전 중 나치의 잔인한 행적으로 손꼽히는 '유태인 학살(이를 홀로코스트라고 불리기도 한다)' 은 두고두고 영화 소재로 사용되면서 두 번 다시 이러한 비극이 일어나선 안된다고 강조하고 또 강조한다. '피아니스트', '쉰들러 리스트', '인생은 아름다워' 같은 영화도 홀로코스트를 기반으로 만들어졌다. '줄무늬 파자마를 입은 소년' 또한 같은 소재로 만든 영화지만, 앞서 언급한 영화들과 차이가 있다면 8살짜리 아이의 관점이라는 것이다.

8살짜리 남자 아이 브루노는, 그당시 나치즘이 팽배했던 시대상과는 전혀 동떨어진, 어른이 되면 모험가가 되고 싶어하는, 말그대로 순수하고 호기심이 많은 아이이다. 장교인 아버지를 따라, 수도인 베를린에서 멀리 떨어진 시골로 가족과 함께 이사하게 되면서 시작된다. 베를린에서 같이 뛰어놀던 친구도 없고 학교도 없는 그 곳에서, 브루노는 파자마를 입고 안팎에서 활동하는 이들이 호기심의 대상이었다.

그네를 만들기 위해 타이어를 구해다주고, 그네를 타다 다리를 삐었을 때 치료해주던 '줄무늬 파자마를 입은 사람' 파벨과 철조망이 쳐져있는 저 울타리 너머에 브루노의 또래처럼 보이는 '줄무늬 파자마를 입고 있는 남자아이' 슈무엘이 그 타겟이었다. 그들과 좀 더 깊고 친하게 지내고 싶지만, 브루노의 주위에선 파자마인들과 브루노의 사이를 단절시킨다. 나와 똑같이 생긴 사람들인데, 아버지와 그를 수행하는 부관, 심지어 브루노의 누나인 그레텔 마저 그들을 경멸하고, 사람이 아닌 동물취급하는 것에 그는 충격을 먹는다.

브루노의 주위환경이 변화하는 모습도 눈여겨볼만 하다. 아버지가 직접 고용한 가정교사를 통하여, 12살짜리 여자애다움을 버리고 세뇌식 교육에 의해 파시즘을 찬양하는 그레텔의 모습과(그녀가 아끼는 인형들을 모두 다락방에 버리고, 자신의 방에 나치즘이 팽배한 포스터를 붙이는 것이 그러하다 할 수 있다), 그러한 딸의 변화와 남편의 잔혹한 모습에 견디지 못해 울부짖는 아내. 영화에서 보여주는 이러한 면들이 비단 브루노네 가족 뿐만이 아닐 것이다. 1940년대 대부분 독일 사람들이 나치의 세뇌식 교육으로 그렇게 변해가고 있었다.

아버지와 나치의 주요 간부들이 함께 시청한 유대인 캠프의 조작 영상을 뒤에서 엿본 8살짜리 브루노는, 그가 친척집으로 떠나기 전에 슈무엘이 사는 철조망 너머 파자마인들이 사는 캠프 내부가 어떤 곳이 궁금하여 슈무엘에게 줄무늬 파자마 옷을 구해달라고 했고, 그는 슈무엘과 똑같은 파자마인이 되어 캠프 내부에 잠입했다. 하지만 그가 본 영상처럼, 캠프 어느 곳에도 카페며 놀이공간이며, 존재하지 않았다.

8살짜리 눈에 비춰진 것은 파자마인들을 짐승처럼 막 대하고, 그들을 한 쪽 구석으로 몰아부치는 사나운 괴물과도 같은 나치 군인들의 모습과, 맹수의 으르렁거림에 사시나무 떨듯이 잔뜩 겁먹은 파자마인들. 그것이 브루노가 본 마지막의 모습이었다. 순수함을 비극으로 만드는 어른들의 세계 [리뷰] http://blog.naver.com/vegeta78/220620805141 전쟁은 모두가 피해자가 되는 비극. 순수한 아이의 시점으로 보는 전쟁의 참혹함 못난 수염쟁이들에 부닥치는 순수한 눈망울 내장이 뒤틀리는 기분이 들었던 영화... 두번 보긴 힘들 것 같다. 억울할 것도 없고 탓할 것도 없다. 결말 보고나면 뭔가 시무룩해지는 영화 베라 파미가는 참 매력적이다."
콜 미 바이 유어 네임,
리빙: 어떤 인생,
밀수,
스파이더맨: 뉴 유니버스," 스파이더맨: 뉴 유니버스
01.
나는 마블의 캐릭터 중에서 ‘스파이더맨’이 가장 불쌍하다고 생각했다. 캐릭터라면 응당 받아야할 사랑을 받지 못하기 때문이며 그것은, 진짜 모든 전편이 재미없었기 때문이기도 하다.
그런 캐릭터 스파이더맨을 신이 가엾게 여겼을까? 그래서 이렇게 존잼인 생각의 발상을 다른 캐릭터가 아닌 스파이더맨에게 내려주신걸까? 소니에게도 큰 희망이 아닐수 없다.

02.
요즘 영화속 히어로들에겐 과업이 있다. 그들의 과업지시서엔 “나는 누구인가?”라는 질문에 대한 성찰을 꼭 해야한다. <스파이더맨: 뉴 유니버스>도 그 과업을 충실히 이행한다. 여타의 히어로 들과 같이 자아에 대한 성찰을 하는 영화 플롯은 동일하지만, 자신은 누구인가에 대해 끓임없이 생각하는 방식은 다르다. 주인공 마일스는 ‘그래피티 아트’를 한다. 타인의 생각이 만드는 내가 아닌 나를 표현하고, 다른 세계에 있는 또다른 ‘스파이더맨’들과 다른 나를 그려내는 방식을 자체적으로 갖고 있는 것으로 그려져 꽤 흥미로웠다. 이 ‘그래피티 아트’가 갖는 충동적이며, 장난스러운 그 기본의 의미는 여기서 끝나지 않는다. 이 영화의 색감은 전체적으로 이어진다. 영화는 2D와 3D 그림체가 서로 섞여 사용이 된다. 영화 속 픽셀이 쪼개지는 면서도, 그것이 뒤엉키는 과정또한 굉장히 자유로워서 보는 내내 신선하다는 느꼈다.

03.
이제는 고인이 된 ‘스탠리’는 영화속에서 말했다. 누군가를 도움이 되고자한다면 영웅이라고 말이다. 그리고 ‘믿고 그냥 뛰어내려’라는 영화를 관통하는 대사를 보면서, ‘스파이더맨’이라는 캐릭터에 대해 다시 생각하게 됐다.
우리는 너무 능력에 치중한 히어로 영화들을 보며 자극적이고 일회성 즐거움을 찾는 것은 아닐까하고 말이다. “큰힘에는 큰 책임이 따른다”라는 말의 그 무거움을 이 영화를 통해서 새삼 생각하게 했다.

04.
이 영화를 특별관에서 보면 더 좋았을텐데, 그러지 못한 것이 참 아쉽다. 10대는 서툰 만큼 빨리 배우고 잘 받아들인다. 우리들의 친절한 이웃은 어디에나 있고 누구든지 될 수 있다. 알 수 없어. 너 자신을 믿고 뛰는 거야. 힙하게 날아오르는 새로운 우리의 특별한 이웃 노래 영상미 내용 조던1 무엇하나 빠지지않는다. 소니의 희망 스파이더맨은 누구든지 될 수 있다. 신뢰의 도약. 영웅의 비상!"
