movie_title,review
타짜,유쾌하게 웃으며 보았던 영화~
타짜,한국사람 두명만 모이면 타짜 상황극 가능 ㅋㅋ
타짜,진짜 다시봐도 명작인 영화 적절한bgm도 너무 좋다!
타짜,"멋드러진 캐릭터, 감각적인 스타일, 구미가 땡겨지는 스토리.. 이 영화는 참 칭찬할 게 많다. 장르영화로서는 극대화된 재미를 보장하면서, 러닝타임을 가득하게 채워놨고, 배우들의 연..."
타짜,이거 개쩌는 영화구나
타짜,첫 장면을 보면 다음 장면이 아른거려 계속 보게 된다. 단 하나의 흠이라면 영화라는 제약이다.
타짜,<범죄의 재구성>으로 예열을 마친 뒤 탄생한 최동훈 감독의 최고작. 원작에 비해 깊이가 떨어지고 클라이맥스 배분이 온전히 되지 못해 아쉽다는 이야기들도 있지만 맛깔나는 대사와 손을...
타짜,"찰떡 같은 대사 죽이는 오락성, 다시 봐도 재밌어"
타짜,각자의 캐릭터들이 모두 색깔이 있다. 재밌었다.
타짜,최동훈은 '꾼'이다.
타짜,맛깔나는 대사들의 대잔치
타짜,"배우, 연출, 연기 모든것이 완벽했던...."
타짜,언제봐도 끝까지 보게되는 명작
타짜,거침없는 입담으로 관객을 사로잡는다
타짜,"재즈 선율이 흐르듯 부드러운 손놀림, 입놀림, 카메라 놀림에 속절없이 눈과 귀를 빼앗긴다."
타짜,내 인생영화
타짜,이걸 넘을 시리즈는 없다
타짜,어떤 장르로 봐도 손색없다 최고의 누아르
타짜,갈때까지도 예술로 가는구만.
타짜,양가적 소재인 도박이란 소재를 대중화시킨 장본인.
타짜,매력 있는 캐릭터성과 그걸 맛깔나게 살리는 배우들의 뛰어난 연기
타짜,"한국 오락 영화의 정점, 모든 장면이 명장면으로 가득 채워져있다"
타짜,쉴 틈 없이 몰아치는 명대사의 향연들
타짜,꼭 봐야하는 드라마임. 고니는 인생캐릭터
타짜,만화책을 읽는 듯한 느낌. 어디부터 펴서 봐도 결말까지 재미있다.
타짜,크~ 대사가 어찌 이리 맛깔날꼬
타짜,아 진짜 재밌음 반전도 있고 과하지도 않고 개 야무진 영화
타짜,다시봐도 띵작 착착 패 섞는 소리와 함께나오는 브금은 듣기만해도 영상 자동재생됨
타짜,계속 생각나는 영화. 싸늘하게 꽂힌 영화
타짜,오늘도 봤다
타짜,"최고의 무협물, 타짜"
타짜,버릴 장면이 있나? 너무 더럽고 퇴폐적이고 비교육적이지만 그래도 재밌고 기억에 남는 영화.
타짜,대사 하나하나가 장땡이다
타짜,언제 봐도 재미있는
타짜,타짜를 아냐구요? 내가 아는 한국 영화 중에 최고였어요. 세월이 흘러도 빛이 그윽한 멋들어진 영화 (재관람) 210920
타짜,오락성과 대중성의 절묘한 배합.
타짜,제일 좋아하는 한국 3대 작품중 하나
타짜,"맛깔나는 대사, 기가막힌 연출. 최동훈 표 오락 의외의 1승."
타짜,중간에 좀 늘어지지만 재미는 있다
타짜,최동훈이 만드는 뽕짝은 역시 최고. 왜 이 때로 안돌아와요?
타짜,영화 타짜는 타짜다.
타짜,"배우,스토리,대사 모두가 완벽한 영화 봐도 또 봐도 재미있다"
타짜,한국 냄새 물씬 풍기는 충무로 케이퍼 영화의 최고봉.
타짜,버릴장면이 없는 최고의 오락영화
타짜,모든 대사들이 명대사.
타짜,명작은 언제 봐도 재밌다👍
타짜,모든 부분이 명장면이고 보면 알 것
타짜,매력적인 캐릭터와 대사로 빠져들게 만든다
타짜,어떤 의미에서든 그 파급력이 어마어마한 역대급 한국영화
타짜,누구나 인정하는 한국영화의 한 획을 그은 수작
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",기대이상의 수작. 일본영화 특유의 감성을 제대로 살렸다. 이런 영화는 영화관에서 혼자 집중력있게 봐야 최고. 봐야겠다고 결심한 영화는 예고편도 안보는게 맞는듯.
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",기억상실증이라는 멜로영화의 클리셰가 진부하기도 하지만 효과적이기도 해서 꽤 볼만한 멜로 영화로 느껴졌다. 최근 볼만한 한국 멜로영화가 가뭄인 이 시점에서 꽤 괜찮은 선택지라 생각.
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",너의 매일 아침 시작을 행복하게 해주고 싶어. 익숙한 일본 감성 로맨스 영화.
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",망각의 빈 자리에 다정함으로 아로새긴 소년의 선물
"오늘 밤, 세계에서 이 사랑이 사라진다 해도","[오늘 밤, 세계에서 이 사랑이 사라진다 해도] 짧은 관람 후기"
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",울고싶을 때 보기 좋은 영화
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",여주보다 여주친구가 더 돋보인다. 잔잔한 파도처럼 밀려드는 일본 영화의 매력이 잘 드러난다.
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",딱 일본 로맨스 그 잡채
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",흔한 한국식 결말과는 다른 흔한 갑작스러운 일본식 결말. 일본식 결말 좋아하는 사람들에게는 추천.
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",진부하고 뻔하다. 하지만 밝은 하늘 아래에 있는 두 사람을 보면 눈물이 난다
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",기억은 사라지지 않고 추억으로 남아있었어
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",슌스케 존잘..😖🫣💜 소설 보고 영화보면 재미가 2배!👍
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",오늘 밤 세계에서 이 사랑이 사라진다 해도 후기
